date,open,high,low,close,volume,index_name
2023-08-11,20300.5,20415.0,20293.5,20407.599609375,164371100,TSX
2023-08-14,20337.69921875,20338.80078125,20237.900390625,20290.5,194938800,TSX
2023-08-15,20190.19921875,20190.19921875,19888.30078125,19899.80078125,216307200,TSX
2023-08-16,19857.30078125,19965.69921875,19852.0,19899.099609375,191254000,TSX
2023-08-17,19956.400390625,20008.900390625,19792.5,19812.19921875,167615100,TSX
2023-08-18,19746.30078125,19845.30078125,19683.900390625,19818.400390625,174024900,TSX
2023-08-21,19837.599609375,19875.69921875,19733.5,19784.900390625,201363500,TSX
2023-08-22,19820.400390625,19820.400390625,19675.099609375,19691.19921875,162812800,TSX
2023-08-23,19718.80078125,19907.30078125,19713.5,19879.80078125,184846600,TSX
2023-08-24,19862.0,19900.900390625,19775.80078125,19775.80078125,180708000,TSX
2023-08-25,19838.099609375,19883.599609375,19681.80078125,19835.80078125,147497500,TSX
2023-08-28,19900.30078125,20038.599609375,19900.30078125,20025.099609375,161416000,TSX
2023-08-29,20014.30078125,20290.80078125,19999.599609375,20290.400390625,175093600,TSX
2023-08-30,20319.400390625,20403.400390625,20309.400390625,20330.30078125,149122100,TSX
2023-08-31,20392.69921875,20426.69921875,20286.599609375,20292.599609375,295670100,TSX
2023-09-01,20398.80078125,20575.400390625,20398.80078125,20545.400390625,208562600,TSX
2023-09-05,20521.400390625,20546.400390625,20412.900390625,20413.80078125,207766100,TSX
2023-09-06,20375.099609375,20375.099609375,20181.599609375,20227.0,203759200,TSX
2023-09-07,20175.599609375,20224.69921875,20119.400390625,20132.099609375,229427100,TSX
2023-09-08,20118.80078125,20161.099609375,20066.400390625,20074.69921875,161860900,TSX
2023-09-11,20117.69921875,20222.900390625,20096.900390625,20182.80078125,182505900,TSX
2023-09-12,20154.30078125,20267.900390625,20154.30078125,20223.099609375,204613300,TSX
2023-09-13,20228.80078125,20298.69921875,20202.69921875,20278.900390625,203489100,TSX
2023-09-14,20370.400390625,20576.5,20370.400390625,20567.80078125,240479500,TSX
2023-09-15,20558.5,20652.19921875,20534.5,20622.30078125,511260500,TSX
2023-09-18,20592.80078125,20598.599609375,20449.099609375,20492.80078125,209947200,TSX
2023-09-19,20447.69921875,20447.69921875,20203.30078125,20218.900390625,204462900,TSX
2023-09-20,20238.30078125,20351.5,20214.400390625,20214.69921875,168205300,TSX
2023-09-21,20115.0,20115.0,19791.599609375,19791.599609375,234089500,TSX
2023-09-22,19852.099609375,19898.900390625,19769.30078125,19780.0,175034100,TSX
2023-09-25,19733.69921875,19850.19921875,19671.80078125,19800.599609375,223278100,TSX
2023-09-26,19729.099609375,19774.69921875,19555.5,19556.19921875,232673700,TSX
2023-09-27,19590.400390625,19633.400390625,19341.400390625,19436.0,234124200,TSX
2023-09-28,19424.19921875,19629.0,19409.599609375,19590.69921875,212463200,TSX
