date,open,high,low,close,volume,index_name,daily_return,sma_20,sma_50,volatility_7d,volatility_30d,rsi,rsi_signal
2020-12-15,17481.80078125,17533.099609375,17441.80078125,17506.5,221396900,TSX,0.006849765157488141,17341.515234375,16719.48814453125,0.005541877407772949,0.006805741794566085,63.26756545443578,Neutral
2020-12-16,17570.400390625,17600.599609375,17480.80078125,17567.400390625,256848900,TSX,0.0034787302216319205,17375.39521484375,16746.11416015625,0.005539099956569378,0.006805153846368583,64.9779563073057,Neutral
2020-12-17,17646.900390625,17684.099609375,17605.5,17652.900390625,247245800,TSX,0.004866969392103515,17412.5501953125,16770.60615234375,0.005735634255450269,0.0061503461949131795,67.28136771106867,Neutral
2020-12-18,17675.30078125,17676.599609375,17517.19921875,17534.599609375,484558400,TSX,-0.0067014925951106585,17438.3251953125,16790.60814453125,0.006083378101077996,0.006353881186600562,61.276163572150686,Neutral
2020-12-21,17367.0,17507.69921875,17307.5,17500.900390625,247287200,TSX,-0.0019218698744614127,17458.64521484375,16809.37013671875,0.006035699255340951,0.006148101311027932,59.6430744373221,Neutral
2020-12-22,17538.19921875,17572.900390625,17478.400390625,17552.5,208088700,TSX,0.002948397409463732,17472.55517578125,16830.20412109375,0.006119409190266071,0.00603036276126986,61.341979832095454,Neutral
2020-12-23,17586.900390625,17652.69921875,17583.599609375,17593.599609375,185161800,TSX,0.002341524533542305,17486.58017578125,16852.96810546875,0.0045714060659513825,0.005853865846997758,62.68926907531376,Neutral
2020-12-24,17595.900390625,17641.69921875,17568.5,17623.900390625,95985400,TSX,0.0017222616134706659,17500.21015625,16875.42611328125,0.003980272215545076,0.0053102039756504965,63.69388898464652,Neutral
2020-12-29,17610.5,17661.19921875,17512.19921875,17543.400390625,205406800,TSX,-0.004567660859160383,17507.5501953125,16897.51810546875,0.004282729180402508,0.005398499957780172,59.13811433346448,Neutral
2020-12-30,17572.30078125,17623.099609375,17534.099609375,17545.80078125,159579800,TSX,0.00013682584741570025,17525.3251953125,16922.95212890625,0.003683582272800189,0.004976434189712349,59.23175343221402,Neutral
2020-12-31,17520.69921875,17556.5,17428.69921875,17433.400390625,158566700,TSX,-0.006406113464203611,17532.1501953125,16946.154140625,0.0036064387491286628,0.0051506978780504085,53.09595809986858,Neutral
2021-01-04,17583.400390625,17593.80078125,17405.400390625,17527.80078125,238981100,TSX,0.005414915536257947,17540.6302734375,16972.10615234375,0.004243084391871965,0.005143911629633107,57.11406775728735,Neutral
2021-01-05,17544.0,17694.400390625,17544.0,17682.5,290354800,TSX,0.00882593433601131,17554.8552734375,17000.16814453125,0.005316973820767097,0.005326531688295419,62.7462930895601,Neutral
2021-01-06,17721.599609375,17924.5,17721.599609375,17828.099609375,310529000,TSX,0.00823410769828925,17570.21025390625,17030.64814453125,0.005977821940948798,0.005392770555074888,67.12270345633988,Neutral
2021-01-07,17935.30078125,18051.80078125,17912.80078125,18027.599609375,261370100,TSX,0.01119019998604287,17592.47021484375,17069.60814453125,0.0069247543446593835,0.00565170684665215,71.97989925456027,Overbought
2021-01-08,18057.099609375,18058.599609375,17935.599609375,18042.099609375,259284100,TSX,0.000804322278849634,17612.6251953125,17110.03212890625,0.006168957432390283,0.005407312972870667,72.3002131102392,Overbought
2021-01-11,17930.0,18027.19921875,17927.19921875,17934.5,225412100,TSX,-0.005963807522661568,17631.35517578125,17156.99013671875,0.0071614905929832775,0.0055716618340975336,66.24810255876369,Neutral
2021-01-12,17981.80078125,18009.30078125,17894.099609375,17985.80078125,244677100,TSX,0.0028604522707631475,17650.98017578125,17203.2921484375,0.005832209023241828,0.005577048017962773,67.63897564359002,Neutral
